Constituent ID,Artist Display Name,Artist ULAN ID,Artist Wikidata ID
100000,Emilien de Nieuwerkerke,,
100001,Charles François Paul le Normant de Tournehem,,
100005,Francesco Rampazetto,,
100007,Carl E. Landefeld,,
100008,Douglas D. Ellington,,
100009,Richard H. Granelli,,
100010,Donald M. Kirkpatrick,,
100012,Agnew & Sons,,
100013,Duncan McLachlan Jr.,,
100014,Gerhardt Wilhelm von Reutern,500078776,Q1346226
100017,Lloyd Morgan,,
100018,Master of the Stockholm Wolf Huber Copies,500101718,
100019,Shirley Jones,500121355,Q230218
100020,The Red Hen Press,,
100021,Charles Reginald Aston,500138978,Q52147512
100022,Lowes Dalbia Luard,500006103,Q6693990
100023,Martin Edward Fallas Shaw,,
100025,Antonio Gramignani,,
100026,Nicolao Filippone,,
100027,Berndardinus Bongiovanni,,
100029,Monsieur Destissac,,
100031,L'Imprimerie de Baudouin,,
100032,Louis-Jacques Beaublet,,
100033,Dedun,,
100034,William Endicott,,
100035,Joseph Curtis,,
100036,H. A. Harvey,,
100037,Hatch & Co.,,
100038,Francis G. Himpler,,
100039,"Anonymous, American, 18th century",500397994,Q4233718
100040,Charles Cotton Milbourne,500027840,Q18508110
100041,William H. Ellis,,
100042,William Rodrigue,,
100043,Francis Michelin,,
100044,Wild,,
100045,Antoine Michel Filhol,,
100046,Claude Niquet,,
100047,Victor Pillement,,
100048,J. J. de Laporte,,
100049,Marie Alexandre Duparc,,
100050,Louis Pauquet,500050431,Q42313855
100051,François-Martin Testard,,
100052,Antoine Abraham Devilliers,500056910,
100053,P. Clochard,,
100054,Heina,,
100055,Jean Desaulx,,
100057,Nicolai Abraham Abildgaard,500023457,Q319854
100058,Eduard Peithner von Lichtenfels,500104854,Q911548
100059,Robert Kummer,500011195,Q1040249
100061,Wilhelm Gail,500056867,Q1544829
100062,Karel Skréta,500115725,Q728117
100063,Friedrich Geissler,500065277,Q19279961
100065,American College of Heraldry and Genealogical Registry for the United States,,
100066,Frederick Leo Hunter,500087894,Q52155621
100068,G. & W. Endicott,,
100069,Henri Jean Picou,,
100070,A. J. Defehrt,,
100072,Louis Jacques Goussier,,
100073,David,,
100074,Le Breton,,
100075,Niodot,,
100076,Paillasson,,
100077,Des Hautesrayes,,
100078,Rojau,,
100079,Bourgeois,,
100080,Guillaume Dheulland,,
100083,Isaac Puller,,
100084,de la Croix,,
100085,de la Rue,,
100087,Harguiniez,,
100089,Belin,,
100090,Louis François Petit Radel,500043231,Q3260506
100091,Degerantins,,
100093,Jean Chumalero Carrillo,,
100094,Samuel Spencer,,
100098,Georg David Matthieu,500015877,Q1504021
100103,Dumont,,
100104,Jean Pesne,500027307,Q5011716
100105,Heinrich Dreber,500002865,Q878306
100106,Panckoucke,,
100107,Stoupe,,
100108,Richomme,,
100109,J. Dreppe,,
100110,Thomas Jones,500007523,Q1743855
100113,Adolphe Bilordeaux,,
100114,Defrondat,,
100115,J. Ange Trayer,,
100116,Ducreux,,
100117,Cattier,,
100118,"J. Rigo, Lebref et Cie",,
100119,Ludwig et Blanchin,,
100122,Pavel Petrovic Froman,,
100123,Michel Andreenko,500012213,Q12078401
100124,Lukas Stipperger,500064744,
100125,Blanchin,,
100126,Athanese Gard,,
100127,Jules Paullet,,
100128,Heinrich,,
100129,Edouard Duchemin,,
100130,Prodhomme,,
100132,A. Moskvitin,,
100133,B. Chuprigin,,
100134,N. A. Terekhova,,
100135,G. Konechna,,
100136,Nika Georgievna Gol'c,,
100137,A. N. Yakobson,,
100138,Irina Anatol'evna Fateeva,,
100139,Galina Sergeevna Solov'eva,,
100140,Natalia Pavlovna Antokol'skaya,,
100141,Anatolii Vladimirovich Golubev,,
100142,Vladimir Nikolaevich Minaev,,
100143,K. V. Kuznetsov,,
100144,Yuri Alekseevich Vasnetsov,,
100145,E. M. Rachev,,
100146,Radyans'ka Ukraina,,
100147,"TsK LKSMU ""Molod""",,
100148,B. Chakhii,,
100149,V. G. Dmitruk,,
100150,K. D. Aron,,
100151,A. Mityayev,,
100152,Yuri Molokanov,,
100153,Avril Pyman,,
100154,G. A. Mokrusheva,,
100155,Hyacinthe Collin de Vermont,500027463,Q1427707
100156,Alla Ivanovna Stroilo,,
100157,Yu. N. Afanas'eva,,
100158,Vasil' Vitka,,
100159,V. L. Nikolenko,,
100160,L. M. Kulakiv'ska,,
100161,Antoni Podsiad,,
100162,Alexander Bogerianoff,,
100168,Department for the Production of State Documents,,
100169,I. I. Bilibin,,
100170,S. Abramoff,,
100172,A. Vernant,,
100173,M. Vernant,,
100174,Vladimir Andreyevich Favorsky,500017556,Q898175
100175,T. Gur'eva,,
100176,B. Z. Yaschina,,
100177,A. M. Polyak,,
100178,Poeschel & Trepte,,
100179,Elisabeth Tichejeff,,
100180,Heinrich Duenwege,,
100181,Victor Duenwege,,
100182,Aleksei Nikolaevich Tolstoi,,
100183,Mikhail Vladimirovich Matorin,,
100184,A. Pavlov,,
100185,Joseph Ignaz Gurk,,
100186,Sergey Mikhailovich Kolesnikov,500067198,
100187,Il'ya Alekseevich Sokolov,,
100188,Sonia Lewitzka,,
100189,Nikolai Evgen'evich Muratov,,
